locus_tag	ftype	length_bp	gene	EC_number	COG	product
OQ475017_00001	CDS	1077				hypothetical protein
OQ475017_00002	CDS	456				hypothetical protein
OQ475017_00003	CDS	306				hypothetical protein
OQ475017_00004	CDS	453				hypothetical protein
OQ475017_00005	CDS	570				hypothetical protein
OQ475017_00006	CDS	306				hypothetical protein
OQ475017_00007	CDS	1362	MCP			Major capsid protein
OQ475017_00008	CDS	1458				hypothetical protein
OQ475017_00009	CDS	1551				hypothetical protein
OQ475017_00010	CDS	219				hypothetical protein
OQ475017_00011	CDS	243				hypothetical protein
OQ475017_00012	CDS	393				hypothetical protein
OQ475017_00013	CDS	261				hypothetical protein
OQ475017_00014	CDS	333				hypothetical protein
OQ475017_00015	CDS	1398				hypothetical protein
OQ475017_00016	CDS	294				hypothetical protein
OQ475017_00017	CDS	957				hypothetical protein
OQ475017_00018	CDS	792				hypothetical protein
OQ475017_00019	CDS	588				hypothetical protein
OQ475017_00020	CDS	333				hypothetical protein
OQ475017_00021	CDS	210				hypothetical protein
OQ475017_00022	CDS	2844				hypothetical protein
OQ475017_00023	CDS	534				hypothetical protein
OQ475017_00024	CDS	1599				hypothetical protein
OQ475017_00025	CDS	606				hypothetical protein
OQ475017_00026	CDS	243				hypothetical protein
OQ475017_00027	CDS	939		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
OQ475017_00028	CDS	216				hypothetical protein
OQ475017_00029	CDS	897				hypothetical protein
OQ475017_00030	CDS	3507				hypothetical protein
OQ475017_00031	CDS	204				hypothetical protein
OQ475017_00032	CDS	585				hypothetical protein
OQ475017_00033	CDS	576				hypothetical protein
OQ475017_00034	CDS	903				hypothetical protein
OQ475017_00035	CDS	3159	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
OQ475017_00036	CDS	1140				hypothetical protein
OQ475017_00037	CDS	1026				hypothetical protein
OQ475017_00038	CDS	1350				hypothetical protein
OQ475017_00039	CDS	1440				hypothetical protein
OQ475017_00040	CDS	879				hypothetical protein
OQ475017_00041	CDS	1140				hypothetical protein
OQ475017_00042	CDS	1293				hypothetical protein
OQ475017_00043	CDS	600				hypothetical protein
OQ475017_00044	CDS	363				hypothetical protein
OQ475017_00045	CDS	801				hypothetical protein
OQ475017_00046	CDS	915				hypothetical protein
OQ475017_00047	CDS	684				hypothetical protein
OQ475017_00048	CDS	264				hypothetical protein
OQ475017_00049	CDS	354				hypothetical protein
OQ475017_00050	CDS	171				hypothetical protein
OQ475017_00051	CDS	429				hypothetical protein
OQ475017_00052	CDS	453				hypothetical protein
OQ475017_00053	CDS	171				hypothetical protein
OQ475017_00054	CDS	945				hypothetical protein
OQ475017_00055	CDS	942				hypothetical protein
OQ475017_00056	CDS	648				hypothetical protein
OQ475017_00057	CDS	261				hypothetical protein
OQ475017_00058	CDS	513				hypothetical protein
OQ475017_00059	CDS	807				hypothetical protein
OQ475017_00060	CDS	3795				hypothetical protein
OQ475017_00061	CDS	369				hypothetical protein
OQ475017_00062	CDS	2649				hypothetical protein
OQ475017_00063	CDS	1473				hypothetical protein
OQ475017_00064	CDS	189				hypothetical protein
OQ475017_00065	CDS	1044				hypothetical protein
OQ475017_00066	CDS	582				hypothetical protein
OQ475017_00067	CDS	1434				hypothetical protein
OQ475017_00068	CDS	732				hypothetical protein
OQ475017_00069	CDS	477				hypothetical protein
OQ475017_00070	CDS	1611				hypothetical protein
OQ475017_00071	CDS	420				hypothetical protein
OQ475017_00072	CDS	1023				hypothetical protein
OQ475017_00073	CDS	2973				hypothetical protein
OQ475017_00074	CDS	1335				hypothetical protein
OQ475017_00075	CDS	465				hypothetical protein
OQ475017_00076	CDS	225				hypothetical protein
OQ475017_00077	CDS	474				hypothetical protein
OQ475017_00078	CDS	498				hypothetical protein
OQ475017_00079	CDS	1107				hypothetical protein
OQ475017_00080	CDS	360				hypothetical protein
OQ475017_00081	CDS	1305				hypothetical protein
OQ475017_00082	CDS	534				hypothetical protein
OQ475017_00083	CDS	468				hypothetical protein
OQ475017_00084	CDS	771				hypothetical protein
OQ475017_00085	CDS	414				hypothetical protein
OQ475017_00086	CDS	1575				hypothetical protein
OQ475017_00087	CDS	1011				hypothetical protein
OQ475017_00088	CDS	171				hypothetical protein
OQ475017_00089	CDS	183				hypothetical protein
OQ475017_00090	CDS	339				hypothetical protein
OQ475017_00091	CDS	501				hypothetical protein
OQ475017_00092	CDS	1164				hypothetical protein
OQ475017_00093	CDS	738				hypothetical protein
OQ475017_00094	CDS	492				hypothetical protein
OQ475017_00095	CDS	324				hypothetical protein
OQ475017_00096	CDS	570				hypothetical protein
OQ475017_00097	CDS	516				hypothetical protein
OQ475017_00098	CDS	1446				hypothetical protein
OQ475017_00099	CDS	414				hypothetical protein
OQ475017_00100	CDS	777				hypothetical protein
OQ475017_00101	CDS	372				hypothetical protein
OQ475017_00102	CDS	891				hypothetical protein
OQ475017_00103	CDS	873				hypothetical protein
OQ475017_00104	CDS	621				hypothetical protein
OQ475017_00105	CDS	2763				hypothetical protein
OQ475017_00106	CDS	156				hypothetical protein
OQ475017_00107	CDS	897				hypothetical protein
OQ475017_00108	CDS	744				hypothetical protein
OQ475017_00109	CDS	504				hypothetical protein
OQ475017_00110	CDS	2583				hypothetical protein
OQ475017_00111	CDS	288				hypothetical protein
OQ475017_00112	CDS	1011				hypothetical protein
OQ475017_00113	CDS	1377				hypothetical protein
OQ475017_00114	CDS	675				hypothetical protein
OQ475017_00115	CDS	270				hypothetical protein
OQ475017_00116	CDS	1314				hypothetical protein
OQ475017_00117	CDS	288				hypothetical protein
OQ475017_00118	CDS	507				hypothetical protein
OQ475017_00119	CDS	561				hypothetical protein
OQ475017_00120	CDS	720				hypothetical protein
OQ475017_00121	CDS	381				hypothetical protein
OQ475017_00122	CDS	825				hypothetical protein
