Orthogroup	MF599468.1	MT986830.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MT986830.1_00033
OG0000001	MF599468.1_00163	MT986830.1_00008
OG0000002	MF599468.1_00152	MT986830.1_00007
OG0000003	MF599468.1_00011	MT986830.1_00015
OG0000004	MF599468.1_00092	MT986830.1_00116
OG0000005	MF599468.1_00154	MT986830.1_00100
OG0000006	MF599468.1_00010	MT986830.1_00080
OG0000007	MF599468.1_00174	MT986830.1_00094
OG0000008	MF599468.1_00030	MT986830.1_00032
OG0000009	MF599468.1_00075	MT986830.1_00117
OG0000011	MF599468.1_00149	MT986830.1_00065
OG0000012	MF599468.1_00112	MT986830.1_00022
OG0000013	MF599468.1_00033	MT986830.1_00059
OG0000014	MF599468.1_00122	MT986830.1_00125
OG0000015	MF599468.1_00009	MT986830.1_00126
OG0000016	MF599468.1_00046	MT986830.1_00091
OG0000017	MF599468.1_00035	MT986830.1_00036
OG0000018	MF599468.1_00117	MT986830.1_00111
OG0000019	MF599468.1_00106	MT986830.1_00090
OG0000020	MF599468.1_00090	MT986830.1_00034
OG0000021	MF599468.1_00116	MT986830.1_00005
OG0000022	MF599468.1_00071	MT986830.1_00038
OG0000023	MF599468.1_00171	MT986830.1_00046
OG0000026	MF599468.1_00039	MT986830.1_00114
OG0000047	MF599468.1_00013	MT986830.1_00060
OG0000069	MF599468.1_00131	MT986830.1_00103
