Orthogroup	KC244182.1	L63545.1
OG0000000	KC244182.1_00029	L63545.1_00007
OG0000001	KC244182.1_00007	L63545.1_00079
OG0000003	KC244182.1_00008	L63545.1_00035
OG0000004	KC244182.1_00014	L63545.1_00076
OG0000005	KC244182.1_00028	L63545.1_00108
OG0000006	KC244182.1_00076	L63545.1_00093
OG0000007	KC244182.1_00090	L63545.1_00090
OG0000008	KC244182.1_00112	L63545.1_00001
OG0000009	KC244182.1_00114	L63545.1_00024
OG0000010	KC244182.1_00005	L63545.1_00043
OG0000011	KC244182.1_00022	L63545.1_00071
OG0000012	KC244182.1_00030	L63545.1_00098
OG0000013	KC244182.1_00032	L63545.1_00072
OG0000014	KC244182.1_00034	L63545.1_00013
OG0000015	KC244182.1_00056	L63545.1_00004
OG0000016	KC244182.1_00063	L63545.1_00069
OG0000017	KC244182.1_00086	L63545.1_00009
OG0000018	KC244182.1_00087	L63545.1_00073
OG0000019	KC244182.1_00107	L63545.1_00068
OG0000020	KC244182.1_00121	L63545.1_00030
OG0000021	KC244182.1_00122	L63545.1_00110
OG0000022	KC244182.1_00043	L63545.1_00054
OG0000023	KC244182.1_00095	L63545.1_00056
OG0000024	KC244182.1_00110	L63545.1_00002
OG0000026	KC244182.1_00088	L63545.1_00058
OG0000027	KC244182.1_00046	L63545.1_00003
