Orthogroup	NC_005946.1	OL310752.1
OG0000000	NC_005946.1_00010	OL310752.1_00108, OL310752.1_00113
OG0000001	NC_005946.1_00091	OL310752.1_00019
OG0000003	NC_005946.1_00053	OL310752.1_00018
OG0000004	NC_005946.1_00057	OL310752.1_00012
OG0000005	NC_005946.1_00095	OL310752.1_00107
OG0000006	NC_005946.1_00042	OL310752.1_00078
OG0000007	NC_005946.1_00002	OL310752.1_00042
OG0000008	NC_005946.1_00028	OL310752.1_00060
OG0000009	NC_005946.1_00092	OL310752.1_00116
OG0000010	NC_005946.1_00038	OL310752.1_00021
OG0000011	NC_005946.1_00060	OL310752.1_00004
OG0000012	NC_005946.1_00083	OL310752.1_00114
OG0000013	NC_005946.1_00087	OL310752.1_00085
OG0000014	NC_005946.1_00061	OL310752.1_00083
OG0000015	NC_005946.1_00022	OL310752.1_00096
OG0000016	NC_005946.1_00011	OL310752.1_00027
OG0000017	NC_005946.1_00094	OL310752.1_00046
OG0000018	NC_005946.1_00082	OL310752.1_00045
OG0000019	NC_005946.1_00023	OL310752.1_00065
OG0000020	NC_005946.1_00016	OL310752.1_00071
OG0000021	NC_005946.1_00021	OL310752.1_00072
OG0000022	NC_005946.1_00089	OL310752.1_00052
OG0000023	NC_005946.1_00014	OL310752.1_00036
OG0000024	NC_005946.1_00086	OL310752.1_00062
OG0000026	NC_005946.1_00049	OL310752.1_00044
OG0000027	NC_005946.1_00085	OL310752.1_00087
