Orthogroup	ON075463.1	AY521625.1
OG0000000	ON075463.1_00029	AY521625.1_00091
OG0000001	ON075463.1_00007	AY521625.1_00064
OG0000003	ON075463.1_00008	AY521625.1_00077
OG0000004	ON075463.1_00014	AY521625.1_00130
OG0000005	ON075463.1_00028	AY521625.1_00085
OG0000006	ON075463.1_00073	AY521625.1_00051
OG0000007	ON075463.1_00087	AY521625.1_00016
OG0000008	ON075463.1_00109	AY521625.1_00069, AY521625.1_00070
OG0000009	ON075463.1_00111	AY521625.1_00142
OG0000010	ON075463.1_00005	AY521625.1_00054
OG0000011	ON075463.1_00021	AY521625.1_00110
OG0000012	ON075463.1_00030	AY521625.1_00074
OG0000013	ON075463.1_00032	AY521625.1_00059
OG0000014	ON075463.1_00034	AY521625.1_00065
OG0000015	ON075463.1_00055	AY521625.1_00048
OG0000016	ON075463.1_00061	AY521625.1_00053
OG0000017	ON075463.1_00083	AY521625.1_00086
OG0000018	ON075463.1_00084	AY521625.1_00073
OG0000019	ON075463.1_00104	AY521625.1_00047
OG0000020	ON075463.1_00118	AY521625.1_00115
OG0000021	ON075463.1_00119	AY521625.1_00035
OG0000022	ON075463.1_00043	AY521625.1_00062
OG0000023	ON075463.1_00092	AY521625.1_00100
OG0000024	ON075463.1_00107	AY521625.1_00060
OG0000026	ON075463.1_00085	AY521625.1_00022
OG0000030	ON075463.1_00001	AY521625.1_00004
