Orthogroup	MCV_MP1_RBIV_AY532606.1	Daphi_LS484712.1
OG0000000	MCV_MP1_RBIV_AY532606.1_00030	Daphi_LS484712.1_00114
OG0000001	MCV_MP1_RBIV_AY532606.1_00006	Daphi_LS484712.1_00142
OG0000002	MCV_MP1_RBIV_AY532606.1_00007	Daphi_LS484712.1_00095
OG0000003	MCV_MP1_RBIV_AY532606.1_00014	Daphi_LS484712.1_00187
OG0000005	MCV_MP1_RBIV_AY532606.1_00093	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	MCV_MP1_RBIV_AY532606.1_00029	Daphi_LS484712.1_00248
OG0000007	MCV_MP1_RBIV_AY532606.1_00078	Daphi_LS484712.1_00040
OG0000008	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119	Daphi_LS484712.1_00130
OG0000009	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098	Daphi_LS484712.1_00256
OG0000011	MCV_MP1_RBIV_AY532606.1_00088	Daphi_LS484712.1_00192
OG0000012	MCV_MP1_RBIV_AY532606.1_00035	Daphi_LS484712.1_00194
OG0000013	MCV_MP1_RBIV_AY532606.1_00111	Daphi_LS484712.1_00053
OG0000014	MCV_MP1_RBIV_AY532606.1_00089	Daphi_LS484712.1_00048
OG0000015	MCV_MP1_RBIV_AY532606.1_00031	Daphi_LS484712.1_00188
OG0000016	MCV_MP1_RBIV_AY532606.1_00020	Daphi_LS484712.1_00200
OG0000017	MCV_MP1_RBIV_AY532606.1_00057	Daphi_LS484712.1_00143
OG0000018	MCV_MP1_RBIV_AY532606.1_00125	Daphi_LS484712.1_00202
OG0000019	MCV_MP1_RBIV_AY532606.1_00064	Daphi_LS484712.1_00203
OG0000020	MCV_MP1_RBIV_AY532606.1_00126	Daphi_LS484712.1_00135
OG0000021	MCV_MP1_RBIV_AY532606.1_00033	Daphi_LS484712.1_00240
OG0000022	MCV_MP1_RBIV_AY532606.1_00004	Daphi_LS484712.1_00096
OG0000024	MCV_MP1_RBIV_AY532606.1_00026	Daphi_LS484712.1_00149
OG0000064	MCV_MP1_RBIV_AY532606.1_00069	Daphi_LS484712.1_00002
