Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Lymphocystis disease virus Sa isolate SA9, complete genome",Lymphocystis disease virus Sa,146,146,100%,3e-38,88.61,208501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_033423.1?report=genbank&log$=nucltop&blast_rank=1&RID=69FYWKXH014"",""NC_033423.1"")"
"Lymphocystis disease virus 4 isolate LCDV-WC, complete genome",Lymphocystis disease virus 4,132,132,100%,2e-33,77.22,211086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_055603.1?report=genbank&log$=nucltop&blast_rank=2&RID=69FYWKXH014"",""NC_055603.1"")"
"Lymphocystis disease virus - isolate China, complete genome",lymphocystis disease virus-China,130,130,100%,1e-32,77.22,186250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_005902.1?report=genbank&log$=nucltop&blast_rank=3&RID=69FYWKXH014"",""NC_005902.1"")"
"Lymphocystis disease virus 2 LCDV-JP_Oita_2018 DNA, complete genome",Lymphocystis disease virus 2,130,130,100%,1e-32,77.22,186627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC534415.1?report=genbank&log$=nucltop&blast_rank=4&RID=69FYWKXH014"",""LC534415.1"")"
"Lymphocystis disease virus 1, complete genome",Lymphocystis disease virus 1,103,103,96%,3e-23,60.53,102653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_001824.1?report=genbank&log$=nucltop&blast_rank=5&RID=69FYWKXH014"",""NC_001824.1"")"
"Lymphocystis disease virus 1 isolate LCDV1-4/23ZH, complete genome",Lymphocystis disease virus 1,103,103,96%,3e-23,60.53,102661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP918970.1?report=genbank&log$=nucltop&blast_rank=6&RID=69FYWKXH014"",""PP918970.1"")"
Pentanymphon antarcticum iridovirus strain SS4 segment 9 genomic sequence,Pentanymphon antarcticum iridovirus,62.8,62.8,94%,7e-09,37.84,6288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ791189.1?report=genbank&log$=nucltop&blast_rank=7&RID=69FYWKXH014"",""OQ791189.1"")"
"Iridovirus CN01 strain 2DH, complete genome",Iridovirus CN01,51.2,51.2,92%,9e-05,32.88,165353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM744383.1?report=genbank&log$=nucltop&blast_rank=8&RID=69FYWKXH014"",""OM744383.1"")"
"Iridovirus CN01 strain 1DG, complete genome",Iridovirus CN01,51.2,51.2,92%,9e-05,32.88,165354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM744382.1?report=genbank&log$=nucltop&blast_rank=9&RID=69FYWKXH014"",""OM744382.1"")"
"Iridovirus CN01 strain 4TH, complete genome",Iridovirus CN01,51.2,51.2,92%,9e-05,32.88,165397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM744380.1?report=genbank&log$=nucltop&blast_rank=10&RID=69FYWKXH014"",""OM744380.1"")"
"Cherax quadricarinatus iridovirus strain CQIV-CN01, complete genome",Cherax quadricarinatus iridovirus,51.2,51.2,92%,9e-05,32.88,165695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_040612.1?report=genbank&log$=nucltop&blast_rank=11&RID=69FYWKXH014"",""NC_040612.1"")"
"Shrimp hemocyte iridescent virus isolate 20141215, complete genome",Shrimp hemocyte iridescent virus,51.2,51.2,92%,9e-05,32.88,165809,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_055165.1?report=genbank&log$=nucltop&blast_rank=12&RID=69FYWKXH014"",""NC_055165.1"")"
"Iridovirus CN01 strain 3TG, complete genome",Iridovirus CN01,51.2,51.2,92%,9e-05,32.88,165962,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM744381.1?report=genbank&log$=nucltop&blast_rank=13&RID=69FYWKXH014"",""OM744381.1"")"
"Decapod iridescent virus 1 isolate DIV1-ZH, complete genome",Decapod iridescent virus 1,51.2,51.2,92%,9e-05,32.88,166964,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ724921.1?report=genbank&log$=nucltop&blast_rank=14&RID=69FYWKXH014"",""PQ724921.1"")"
"Bivalve iridovirus 1 isolate BiIV1/exCerastodermaEdule/WashEstuary, complete genome",Bivalve iridovirus 1,50.8,50.8,80%,1e-04,41.54,179695,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ846775.1?report=genbank&log$=nucltop&blast_rank=15&RID=69FYWKXH014"",""PQ846775.1"")"
"Carnivorous sponge associated iridovirus strain MJ4, complete genome",carnivorous sponge associated iridovirus,50.1,50.1,89%,2e-04,32.86,190288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON887238.1?report=genbank&log$=nucltop&blast_rank=16&RID=69FYWKXH014"",""ON887238.1"")"
"Grouper iridovirus, complete genome",Grouper iridovirus,49.3,49.3,90%,4e-04,39.44,139793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY666015.1?report=genbank&log$=nucltop&blast_rank=17&RID=69FYWKXH014"",""AY666015.1"")"
"Singapore grouper iridovirus, complete genome",Singapore grouper iridovirus,49.3,49.3,90%,4e-04,39.44,140131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_006549.1?report=genbank&log$=nucltop&blast_rank=18&RID=69FYWKXH014"",""NC_006549.1"")"
"Singapore grouper iridovirus, complete genome",Singapore grouper iridovirus,49.3,49.3,90%,4e-04,39.44,140131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM793601.1?report=genbank&log$=nucltop&blast_rank=19&RID=69FYWKXH014"",""OM793601.1"")"
"Singapore grouper iridovirus isolate GIV-RP, complete genome",Singapore grouper iridovirus,49.3,49.3,90%,4e-04,39.44,138512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP085414.1?report=genbank&log$=nucltop&blast_rank=20&RID=69FYWKXH014"",""PP085414.1"")"
"Rhinella marina erythrocytic-like virus transcription elongation factor TFIIS and hypothetical membrane-like protein genes, complete cds",Rhinella marina erythrocytic-like virus,48.1,48.1,86%,0.001,35.29,961,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW582947.1?report=genbank&log$=nucltop&blast_rank=21&RID=69FYWKXH014"",""MW582947.1"")"
"Zoo ranavirus isolate ZRV040414, complete genome",Zoo ranavirus,45.8,45.8,90%,0.006,35.21,103266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK227779.1?report=genbank&log$=nucltop&blast_rank=22&RID=69FYWKXH014"",""MK227779.1"")"
"Bohle iridovirus isolate BIV-ME 93/35, complete genome",Bohle iridovirus,45.8,45.8,90%,0.006,35.21,103531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_038507.1?report=genbank&log$=nucltop&blast_rank=23&RID=69FYWKXH014"",""NC_038507.1"")"
"German gecko ranavirus isolate 2000/99, complete genome",German gecko ranavirus,45.8,45.8,90%,0.006,35.21,103681,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP266742.1?report=genbank&log$=nucltop&blast_rank=24&RID=69FYWKXH014"",""KP266742.1"")"
"Frog virus 3 isolate Hunan/CHN/2022, partial genome",Frog virus 3,45.8,45.8,90%,0.006,35.21,104462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP357265.1?report=genbank&log$=nucltop&blast_rank=25&RID=69FYWKXH014"",""PP357265.1"")"
"Onychodactylus koreanus ranavirus isolate OKRV2, complete genome",Onychodactylus koreanus ranavirus,45.8,45.8,90%,0.006,35.21,104626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518041.1?report=genbank&log$=nucltop&blast_rank=26&RID=69FYWKXH014"",""PP518041.1"")"
"Onychodactylus koreanus ranavirus isolate OKRV1, complete genome",Onychodactylus koreanus ranavirus,45.8,45.8,90%,0.006,35.21,104734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518040.1?report=genbank&log$=nucltop&blast_rank=27&RID=69FYWKXH014"",""PP518040.1"")"
"Frog virus 3 isolate RC15021, complete genome",Frog virus 3,45.8,45.8,90%,0.006,35.21,104968,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX397570.1?report=genbank&log$=nucltop&blast_rank=28&RID=69FYWKXH014"",""KX397570.1"")"
"Tiger frog virus isolate A-21, complete genome",Tiger frog virus,45.8,45.8,90%,0.006,35.21,106120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW727505.1?report=genbank&log$=nucltop&blast_rank=29&RID=69FYWKXH014"",""MW727505.1"")"
"Common midwife toad virus isolate Lv/2015/Netherlands/UU315625026, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF102029.1?report=genbank&log$=nucltop&blast_rank=30&RID=69FYWKXH014"",""MF102029.1"")"
"Common midwife toad virus isolate Pe/2015/Netherlands/UU3150902003, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF102030.1?report=genbank&log$=nucltop&blast_rank=31&RID=69FYWKXH014"",""MF102030.1"")"
"Common midwife toad virus isolate Pe/2014/Netherlands/UU3140911031, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF102028.1?report=genbank&log$=nucltop&blast_rank=32&RID=69FYWKXH014"",""MF102028.1"")"
"Common midwife toad ranavirus isolate Pelophylax kl. esculentus/2013/NL, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_039034.1?report=genbank&log$=nucltop&blast_rank=33&RID=69FYWKXH014"",""NC_039034.1"")"
"Common midwife toad virus isolate Lv/2013/Netherlands/UU3130829033, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF062694.1?report=genbank&log$=nucltop&blast_rank=34&RID=69FYWKXH014"",""MF062694.1"")"
"Common midwife toad virus isolate Lv/2015/Netherlands/UU315092051, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,107840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF004272.1?report=genbank&log$=nucltop&blast_rank=35&RID=69FYWKXH014"",""MF004272.1"")"
"Common midwife toad virus isolate Pe/2014/Netherlands/UU3140624035, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF062695.1?report=genbank&log$=nucltop&blast_rank=36&RID=69FYWKXH014"",""MF062695.1"")"
"Common midwife toad virus isolate Pf/2011/Netherlands/UU3120627007, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF062693.1?report=genbank&log$=nucltop&blast_rank=37&RID=69FYWKXH014"",""MF062693.1"")"
"Common midwife toad virus isolate Pe/2011/Netherlands/UU3110920007, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF038789.1?report=genbank&log$=nucltop&blast_rank=38&RID=69FYWKXH014"",""MF038789.1"")"
"Common midwife toad virus isolate Pr/2011/Netherlands/UU3110504006, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF004271.1?report=genbank&log$=nucltop&blast_rank=39&RID=69FYWKXH014"",""MF004271.1"")"
"Common midwife toad virus isolate Pe/2011/Netherlands/UU3110810001, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108099,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF033604.1?report=genbank&log$=nucltop&blast_rank=40&RID=69FYWKXH014"",""MF033604.1"")"
"Common midwife toad virus isolate Pe/2014/Netherlands/UU3140708060, complete genome",Common midwife toad virus,45.8,45.8,90%,0.006,35.21,108101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF093732.1?report=genbank&log$=nucltop&blast_rank=41&RID=69FYWKXH014"",""MF093732.1"")"
"Terrapene mexicana triunguis ranavirus 2 isolate 21126-3, complete genome",Terrapene mexicana triunguis ranavirus 2,45.8,45.8,90%,0.007,35.21,105297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP852645.1?report=genbank&log$=nucltop&blast_rank=42&RID=69FYWKXH014"",""OP852645.1"")"
"Frog virus 3 strain KTC3, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,89528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959606.1?report=genbank&log$=nucltop&blast_rank=43&RID=69FYWKXH014"",""MK959606.1"")"
"Frog virus 3 strain Z595, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,95569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959610.1?report=genbank&log$=nucltop&blast_rank=44&RID=69FYWKXH014"",""MK959610.1"")"
"Frog virus 3 strain Z936, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,97848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959617.1?report=genbank&log$=nucltop&blast_rank=45&RID=69FYWKXH014"",""MK959617.1"")"
"Frog virus 3 strain Z916, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,99213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959612.1?report=genbank&log$=nucltop&blast_rank=46&RID=69FYWKXH014"",""MK959612.1"")"
"Frog virus 3 strain KEN5, partial genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,102577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959605.1?report=genbank&log$=nucltop&blast_rank=47&RID=69FYWKXH014"",""MK959605.1"")"
"Frog virus 3 strain KEN1, partial genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,103148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959604.1?report=genbank&log$=nucltop&blast_rank=48&RID=69FYWKXH014"",""MK959604.1"")"
"Frog virus 3 strain Z942, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,103673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959620.1?report=genbank&log$=nucltop&blast_rank=49&RID=69FYWKXH014"",""MK959620.1"")"
"Frog virus 3 strain Z930, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959615.1?report=genbank&log$=nucltop&blast_rank=50&RID=69FYWKXH014"",""MK959615.1"")"
